FIRST_NAME;LAST_NAME
Natalie Patrik;Ahmed
Jennie Anton;Vik
Guro Matthew;Ellingsen
Siri Sebastian;Edvardsen
Christiane Magne;Thorsen
Karine Dennis;Gulbrandsen
Tyra Marcel;Birkeland
Christina Jone;Isaksen
Sienna Tallak;Ruud
Margit Armin;Strøm
Hedvig Sakarias;Aasen
Madelene Julian;Ødegård
Amanda Shawn;Tangen
Aisha Benjamin;Myklebust
Noelle Alex;Jenssen
Mariell Øyvind;Eliassen
Eline Theodore;Mikkelsen
Natalia Sigve;Bøe
Simone Jonas;Aune
Serine Szymon;Helland
Henny Jonathan;Tveit
Amira Marvin;Brekke
Adelen Gjermund;Abrahamsen
Eli Artur;Engen
Kajsa Taha;Madsen
Lillie Gabriel;Christiansen
Amy Neo;Sunde
Karoline Wilhelm;Mortensen
Ines Eivind;Bjerke
Veronika Michal;Torgersen
Ingvild Kenan;Thoresen
Ida Jarand;Hermansen
Lise Halvard;Mikalsen
Elli Harun;Magnussen
Isabella Aron;Gjerde
Urte Andre;Nilssen
Betina Sam;Helgesen
Maya Leander;Hovland
Marthine Gustav;Bråthen
Monika Joar;Wold
Natasha Alvar;Dahle
Marit Samir;Dale
Sabrina Abdi;Nygaard
Marta Hugo;Eilertsen
Muna Carlos;Wilhelmsen
Tine Leonardo;Foss
Rebecka Thorbjørn;Steen
Ariane Sofus;Jansen
Ada Charlie;Bjørnstad
Melisa Matas;Gabrielsen
Lily Vinjar;Håland
Ulla Karsten;Sætre
Elly Jon;Hammer
Aina Nicolas;Gustavsen
Emina Nikolai;Ingebrigtsen
Emine Alan;Tran
Vanja Muhammad;Hoel
Nellie Sturla;Mohamed
Kristiane Sander;Bråten
Lærke Laurits;Holmen
Anisa Hussein;Solli
Maud Edin;Carlsen
Valentina Johannes;Lorentzen
Paulina Tormod;Engebretsen
Fanny Joshua;Hoff
Maryam Nathaniel;Hassan
Anine Johan;Samuelsen
Runa Pål;Ludvigsen
Nathalie David;Sandnes
Elle Olai;Fossum
Kine Niclas;Sveen
Annika Elliot;Rønningen
Anniken Milo;Breivik
Elma Tom;Monsen
Tiril Lyder;Solbakken
Johanne Morgan;Solvang
Tale Arman;Fjeld
Leonora Silas;Johannesen
Ingrid Rune;Egeland
Camilla Truls;Nordby
Ingeborg Solan;Jonassen
Benedicte Jasper;Aase
Regine Zakaria;Sand
Isra Paul;Bye
Freja Hjalmar;Stokke
Iqra Patryk;Andersson
Synnøve Jo;Bø
Mikaela Maximillian;Dalen
Kaya Malik;Syversen
Helena Geir;Wiik
Frøya Jan;Johansson
Lerke Bjørn;Khan
Tomine Aslak;Løken
Nela Kristian;Ødegaard
Jana Arvid;Sørlie
Ellie Ken;Haga
Katja Gustas;Wang
Lea Justin;Sandberg
Elisa Milan;Møller
Adela Mohamad;Tollefsen
Amina Oliver;Haaland
June Jostein;Viken
Fatima Louis;Kvam
Astri Olivier;Hamre
Tilja Kornelius;Teigen
Erika Kåre;Sande
Jennifer Steven;Borge
Kornelia Ludvig;Berger
Veslemøy Ilyas;Torp
Anneli Piotr;Eikeland
Emmy Eirik;Kolstad
Emilia Vemund;Ottesen
Molly Georg;Enger
Mathilda Yasir;Øien
Linnea Mohammed;Nikolaisen
Ariel Allan;Holen
Erle Felix;Stene
Lia Helge;Fosse
Angelina Bo;Helle
Katrina Abdullahi;Langeland
Amelia Malvin;Kvamme
Dorthe Antoni;Sletten
Emmeli Eren;Borgen
Selina Viljar;Skoglund
Eirin Abel;Petersen
Ava Krystian;Haugan
Sina Leif;Kleven
Ronja Scott;Lind
Madeleine Daniel;Arntsen
Lydia Youssef;Løkken
Linea Jarle;Markussen
Carla Tarjei;Tønnessen
Dania Emilio;Mæland
Lone Maximilian;Lian
Mille Asbjørn;Hole
Iman Mons;Stensrud
Emmeline Antonio;Arntzen
Enya Bjørnar;Østby
Irmelin Tomas;Aamodt
Ariana Elliott;Nordli
Sine Syed;Solem
Frida Haakon;Røed
Vårin Kevin;Tvedt
Marthe Steinar;Myrvang
Aimee Elling;Vold
Therese Arne;Berget
Gabriela Nicolay;Børresen
Ayesha Eskild;Ellefsen
Jasmine Richard;Husby
Kamile Nikolay;Davidsen
Maia Conrad;Hetland
Stine Dawid;Eggen
Yusra Khalid;Skaar
Kamilla Yasin;Kleppe
Milana Mahdi;Syvertsen
Sunniva Henrik;Mohammed
Mina Viktor;Nesse
Emma Tore;Ness
Wilma Robert;Simensen
Siril Casper;Abdi
Oda Mika;Gran
Carmen Bernhard;Ibrahim
Julia Kjell;Smith
Pernille Falk;Meyer
Lucia Aksel;Finstad
Nelly Luis;Marthinsen
Mira Diego;Sund
Bettina Jokubas;Stenberg
Olea Marcus;Olaussen
Susanna Tristan;Norheim
Evelyn Audun;Fjeldstad
Susanne Amandus;Reitan
Fredrikke Adam;Le
Elvira Sverre;Hussain
Leah Olve;Brevik
Elif Endre;Bjelland
Karin Wojciech;Ahmad
Caroline Victor;Meland
Zuzanna Lionel;Skaug
Ruth Ailo;Larssen
Maria Nichlas;Holte
Lena Erling;Espeland
Jenny Erlend;Gjertsen
Sonia Tony;Krogstad
Iben Askil;Riise
Tindra Øystein;Bolstad
Nicole Mohammad;Klausen
Alea Mattis;Lindberg
Olava Dovydas;Solhaug
Idun Edgar;Nilsson
Amine Morten;Waage
Zara Adnan;Nordbø
Line Peter;Mo
Selena Domas;Lauritzen
Emily Melvin;Farstad
Aya Niklas;Aasheim
Amalia Jørgen;Grande
Aila Thomas;Grimstad
Marielle Lasse;Olafsen
Ana Mathis;Krogh
Alida Herman;Rustad
Melina Natan;Holt
Edda Linus;Vatne
Elea Bendik;Endresen
Frøydis Eliah;Bergersen
Liv Mio;Opsahl
Elena Leo;Bendiksen
Maiken Caspian;Øverland
Elida Arin;Myrvold
Sonja Olav;Larsson
Malak Olander;Gulliksen
Louise Johann;Thorvaldsen
Jessica Alf;Hussein
Sahar Fabian;Thorstensen
Freyja Odin;Stangeland
Iris Brian;Salvesen
Katharina Yahya;Nyborg
Marie Ask;Nordvik
Sanne Mikail;Normann
Liepa Ahmad;Rød
Rikke Timian;Sørli
Anette Ravn;Nyhus
Thea Nicolai;Bredesen
Bianca Emilian;Frantzen
Wiktoria Matteus;Thorbjørnsen
Mila Torben;Nordahl
Villemo Odd;Singh
Malena Kaspian;Ringstad
Vilma Anas;Steffensen
Kari Dominic;Bjørnsen
Helin Levi;Hjelle
Martha Kenneth;Lervik
Alva Mateo;Haraldsen
Tora Preben;Mork
Alma Edwin;Sørum
Victoria Bartosz;Melby
Karolina Mikal;Eriksson
Millie Younes;Holter
Solveig Teodor;Skogen
Ragna Tobias;Karlsson
Siham Stian;Mathiesen
Vilde Håkon;Nes
Celin Vegar;Hovde
Una Matteo;Mørk
Melissa Eik;Opheim
Nila Henning;Christoffersen
Sabrin Rasmus;Skår
Lotta Yosef;Ramstad
Leni Tord;Håkonsen
Milla Tian;Økland
Nanna Ole;Lande
Lisa Ulrik;Stenersen
Vilje Dan;Skeie
Cindy Selmer;Erlandsen
Agnethe Abdirahman;Vangen
Anna Sune;Omar
Hanne Kjetil;Fredheim
Hailey Hermann;Øyen
Paula Birk;Sundby
May Lars;Braathen
Eleah Espen;Bugge
Viola Emre;Guttormsen
Sandra Samson;Volden
Isabell Aleksander;Holst
Henriette Elijah;Bergan
Ugne Hallvard;Ask
Idunn Sven;Robertsen
Eiril Peder;Høyland
Synne Sean;Kaspersen
Juni Markas;Lundberg
Vilja Josef;Hope
Inaya Amar;Bang
Zahra Imran;Bjørge
Othelie Mohamed;Nymoen
Mari Ragnar;Bjørklund
Medina Tage;Johnsrud
Karla John;Olsson
Janne Elian;Martinussen
Daniela Emrik;Våge
Kamila Mahamed;Rørvik
Serina Jimmy;Michelsen
Olivia Darin;Aronsen
Tonje Salman;Wiig
Martine Gunnar;Pham
Madelen Iver;Berglund
Ester Liam;Hovden
Live Emilis;Lid
Dina Bror;Dahlen
Savannah Dag;Strømmen
Juliane Ingmar;Strømme
Kaisa Max;Holthe
Margrethe Ivan;Grønvold
Selma Arvin;Tobiassen
Sumaya Arthur;Seim
Kristin Håvard;Ervik
Inga Mustafa;Kleiven
Åse Sindre;Clausen
Vivian Vilmer;Skjæveland
Marianne Oscar;Søvik
Katrine Theodor;Osman
Sol Hubert;Sæbø
Rachel Mario;Nicolaisen
Michelle Sigurd;Tveiten
Silja Theo;Solstad
Kjersti Noah;Askeland
Anny Rolf;Skogstad
Esther Arian;Skar
Andrine Abdul;Meling
Amna Eskil;Løland
Marwa Chris;Kaur
Lene Tor;Benjaminsen
Amal Didrik;Sagen
Oline Isak;Engh
Bella Brynjar;Bekkevold
Tea Mikolaj;Gravdal
Leja Damian;Nyheim
Ailin Ørjan;Nordal
Othilie Severin;Austad
Kaja Jonatan;Rogne
Gabriella Olaf;Stensland
Klara Kajus;Nyland
Tuva Jamie;Vinje
Sofia Albert;Iqbal
Mathea Emmett;Steinsland
Hafsa Otto;Lauritsen
Julie Karol;Øvrebø
Elina Mikael;Borgersen
Lycke Iben;Ramberg
Rakel Henry;Bertelsen
Adine Amund;Bentsen
Adele Fillip;Lyngstad
Alisa Omar;Didriksen
Isabelle Ayman;Thorkildsen
Siren Joachim;Olstad
Erica Jaran;Svensson
Amelie Isac;Nesheim
Asta Martinius;Enoksen
Eirill Arn;Nordgård
Adina Axel;Langseth
Ane Torjus;Jørstad
Yasmin Hassan;Ingvaldsen
Miriam Wilmer;Persson
Kristine Cornelius;Schei
Anita Andreas;Bekken
Anea Sivert;Frydenlund
Zoe Aaron;Winther
Karina Leonard;Brenden
Rebecca Torbjørn;Barstad
Hilde Vidar;Lia
Katarina Svein;Odden
Josefine Arnas;Norum
Bushra Runar;Thomsen
Leona Nojus;Evjen
Alette Leon;Tandberg
Emmi Anthony;Midtbø
Alvilde Trygve;Huse
Stina Martinus;Eidem
Kira Christopher;Førde
Elise Leonel;Hoem
Norah Isaac;Heimdal
Liana Patrick;Haugerud
Thelma Emir;Sæter
Benedikte Eilif;Lange
Mary Oskar;Alstad
Cecilie Emmanuel;Aasland
Freya Lucas;Fossen
Annabell Ola;Stenseth
Nina Agnar;Nordheim
Edel Teo;Ueland
Ragnhild Ruben;Handeland
Laura Mats;Bergh
Sigrid Arham;Fagerli
Gabija Torgeir;Hopland
Dominika Matias;Huseby
Josephine Edvald;Heggelund
Emilija Sølve;Korneliussen
Hedda Musab;Svensen
Zainab Sondre;Horn
Hanan Dominik;Gilje
Ingebjørg Vetle;Aslaksen
Mie Kacper;Nicolaysen
Agnes Dominykas;Almås
Celine Emil;Sollie
Clara Petter;Gjerstad
Emilie Ådne;Westby
Malene Adrian;Kvalheim
Sara Samuel;Bergli
Thale Fredrik;Brun
Marina Rafael;Blindheim
Åsta Nickolai;Bruun
Emelie Steffen;Berntzen
Eivor Maksymilian;Øye
Alexandra Michael;Hågensen
Anne Abdullah;Øverby
Hana Yusuf;Myren
Nora Jesper;Furnes
Laiba Mateusz;Reiersen
Sophie Torstein;Lorentsen
Tilje Milian;Lystad
Fride Emin;Lohne
Elvine Marco;Holten
Mariel Ian;Brenna
Augusta Franciszek;Granli
Elsa Thor;Tønnesen
Tara Ferdinand;Hustad
Nova Igor;Skog
Ylva Alvin;Nergård
Thilde Lauritz;Hove
Nikola Dani;Selnes
Celia Snorre;Gregersen
Nikoline Joseph;Sørheim
Lilli Stein;Liland
Saga Jens;Totland
Kayla Brede;Blom
Cecilia Emanuel;Bergheim
Vida Jayden;Torsvik
Christine Bruno;Bjørndal
Tone Remi;Nerland
Sophia Frederik;Åsheim
Salma Hauk;Flaten
Filippa Edvin;Grindheim
Nicoline Ludvik;Mathiassen
Tilla Christoffer;Aksnes
Vår Marius;Sundal
Aida Jeppe;Østrem
Linda Helmer;Trondsen
Mathilde Tim;Vågen
Vera Aram;Kjær
Charlotte Christer;Bergum
Emely Jakub;Sjursen
Moa Kian;Voll
Angela Rayan;Helgeland
Martyna Harald;Bratland
Luka Chrisander;Standal
Samantha Hamza;Mjelde
Annabelle Sjur;Østensen
Anja Noa;Undheim
Selin Magnus;Hvidsten
Lilja Arijus;Wahl
Veronica Varg;Rygh
Liliana Muhammed;Nordhagen
Ingelin Maciej;Eng
Teja Erik;Dybvik
Mariam Joel;Akselsen
Henrikke Markus;Wik
Rania William;Storvik
Ebba Aryan;Falch
Annabel Phillip;Nyberg
Rebekka Tarik;Toft
Ema Wiktor;Einarsen
Marita Kim;Solum
Halima Nathan;Løvås
Helen Amir;Bjerknes
Lillian Per;Morken
Pia Aiden;Adolfsen
Katinka Ibrahim;Hillestad
Pauline Edvard;Bårdsen
Samira Benas;Storhaug
Ina August;Aarseth
Embla Lavrans;Sandal
Safa Kristupas;Nystad
Helle Sigmund;Ingebretsen
Najma Imre;Lothe
Laila Elias;Matre
Otilie Are;Eik
Aylin Stefan;Ryen
Tilia Matheo;Furuseth
Andrea Denis;Stølen
Alina Jack;Grønli
Vanessa Ayaan;Bergstrøm
Livia Amin;Akhtar
Åshild Ridwan;Hofstad
Ellen Carsten;Rusten
Silje Matheus;Engan
Elisabeth Gard;Wangen
Alise Trym;Oftedal
Felicia Isa;Sæthre
Nawal Konrad;Erichsen
Arya Luca;Ovesen
Lina Bastian;Kaasa
Ulrikke Simon;Skretting
Randi Vebjørn;Haldorsen
Louisa Oliwier;Røstad
Rose Nils;Reinertsen
Liva Evan;Alvestad
Malin Nicholas;Løvik
Gabrielle Filip;Straume
Oliwia Walter;Haugstad
Isabel Edward;Kvalvik
Alicja Ahmed;Førland
Viktoria Torje;Haukås
Tilde Ayub;Ulriksen
Hannah Julius;Kvåle
Sofie Syver;Herland
Hermine Carl;Aakre
Chloe Storm;Espedal
Ann Nataniel;Braaten
Gina Trond;Eikrem
Bertine Millian;Asbjørnsen
Agathe Jøran;Skogheim
Sanna Kai;Olufsen
Luna Lukas;Fjellheim
Diana Alfred;Josefsen
Linn Anders;Husebø
Hennie Hans;Holstad
Maja Terje;Moland
Aminda Dexter;Hernes
Johanna Ali;Salte
Emmelin Tymon;Nesset
Daniella James;Lindseth
Nadia Nikolas;Schmidt
Anastasia Heine;Omdal
Helene Luka;Malik
Matilde Finn;Forsberg
Alisha Vegard;Nordstrand
Hamdi Philip;Tronstad
Naomi Simen;Ismail
Edith Ben;Høvik
Hanna Gaute;Haagensen
Signe Viggo;Tellefsen
Klaudia Jonah;Valle
Ela Jakob;Lindgren
Fiona Johnny;Bjerkan
Beatrice Ivo;Michaelsen
Jasmin Karl;Huynh
Else Colin;Myhren
Margrete Mads;Anderssen
Zofia Loke;Hals
Lovise Kamil;Rostad
Lykke Robin;Brustad
Adna Einar;Strømsnes
Greta Vincent;Røe
Carina Balder;Ravndal
Milena Nikodem;Myller
Tina Mattias;Johnson
Ea Ismail;Byberg
Tilda Vilhelm;Storli
Joanna Aune;Holand
Mona Danial;Valen
Stella Noel;Jonsson
Eira Maxim;Øygarden
Elin Mathias;Holth
Alice Ivar;Nylund
Abigail Nico;Lindstad
Khadija Halvor;Fjellstad
Aline Thorvald;Rygg
Eliza Ryan;Lier
Renate Nicklas;Søberg
Åsne Kristoffer;Butt
Kristina Tommy;Vollan
Angelica Åsmund;Fagerheim
Karen Mikkel;Bentzen
Lucy Martin;Vikan
Gabriele Amadeus;Sanden
Sofija Bilal;Ekeberg
Evelina Knut;Egge
Vega Frank;Stubberud
Martina Christian;Skare
Weronika Zander;Sæle
Lilje Jacob;Grønning
Tirill Eldar;Corneliussen
Angelika Kent;Kroken
Isa Albin;Jama
Sigrun Troy;Bjørke
Maren Joakim;Mørch
Dorthea Pelle;Vedvik
Cassandra Alexander;Øen
Eir Even;Mohamud
Alicia Tinius;Løvdal
Amalie Yousef;Steine
Sundus Kasper;Sannes
Petra Said;Kopperud
Astrid Bernard;Hansson
Heidi Eric;Søyland
Tia Brage;Stokka
Marte Atle;Holme
Mia Patrik;Mohammad
Patrycja Anton;Høiland
Mali Matthew;Holtan
Elizabeth Sebastian;Løseth
Lilly Magne;Brandal
Leana Dennis;Sundt
Lana Marcel;Amdal
Luca Jone;Walle
Karianne Tallak;Beck
Matilda Armin;Riis
Seline Sakarias;Omland
Trine Julian;Juliussen
Annie Shawn;Yusuf
Amelija Benjamin;Løberg
Alba Alex;Fossheim
Cathrine Øyvind;Bekkelund
Eva Theodore;Brandt
Inger Sigve;Aga
Noor Jonas;Nybø
Milja Szymon;Fjell
Ellinor Jonathan;Moberg
Emeli Marvin;Li
Kathrine Gjermund;Fjørtoft
Sannah Artur;Tveter
Magdalena Taha;Farah
Lotte Gabriel;Hodne
Adelina Neo;Buer
Adriana Wilhelm;Gaustad
Celina Eivind;Stormo
Aleksandra Michal;Albertsen
Lara Kenan;Holtet
Helmine Jarand;Fauske
Kaia Halvard;Skaret
Julianne Harun;Torkildsen
Irene Aron;Erstad
Linde Andre;Dokken
Marion Sam;Giske
Aurora Leander;Mahmood
Eileen Gustav;Stokkeland
Iselin Joar;Albrigtsen
Gunhild Alvar;Severinsen
Eliana Samir;Angell
Othelia Abdi;Schjølberg
Melinda Hugo;Roland
Ella Carlos;Hellerud
Nelia Leonardo;Risa
Cornelia Thorbjørn;Persen
Ayla Sofus;Begum
Ine Charlie;Rosland
Marlene Matas;Wathne
Sarah Vinjar;Lillebø
Aria Karsten;Lea
Yara Jon;Henden
Maida Nicolas;Kvammen
Natalie Nikolai;Helmersen
Jennie Alan;Bratlie
Guro Muhammad;Borg
Siri Sturla;Leirvik
Christiane Sander;Erdal
Karine Laurits;Sharma
Tyra Hussein;Hov
Christina Edin;Olaisen
Sienna Johannes;Salomonsen
Margit Tormod;Melhus
Hedvig Joshua;Myrland
Madelene Nathaniel;Richardsen
Amanda Johan;Granheim
Aisha Pål;Bull
Noelle David;Halland
Mariell Olai;Heggen
Eline Niclas;Hegge
Natalia Elliot;Teigland
Simone Milo;Bergesen
Serine Tom;Brenne
Henny Lyder;Birkelund
Amira Morgan;Øren
Adelen Arman;Rise
Eli Silas;Bertheussen
Kajsa Rune;Høie
Lillie Truls;Hage
Amy Solan;Myhr
Karoline Jasper;Nordnes
Ines Zakaria;Berentsen
Veronika Paul;Heitmann
Ingvild Hjalmar;Linnerud
Ida Patryk;Holden
Lise Jo;Rabben
Elli Maximillian;Haukeland
Isabella Malik;Gjesdal
Urte Geir;Bjordal
Betina Jan;Rønneberg
Maya Bjørn;Netland
Marthine Aslak;Sundet
Monika Kristian;Sandøy
Natasha Arvid;Lindstrøm
Marit Ken;Risnes
Sabrina Gustas;Ringen
Marta Justin;Abdullahi
Muna Milan;Bech
Tine Mohamad;Drange
Rebecka Oliver;Rosseland
Ariane Jostein;Hauger
Ada Louis;Abelsen
Melisa Olivier;Vo
Lily Kornelius;Lunden
Ulla Kåre;Granum
Elly Steven;Rødland
Aina Ludvig;Ringdal
Emina Ilyas;Alme
Emine Piotr;Refsnes
Vanja Eirik;Oppedal
Nellie Vemund;Utne
Kristiane Georg;Heggem
Lærke Yasir;Vang
Anisa Mohammed;Vestli
Maud Allan;Sandvold
Valentina Felix;Dahlberg
Paulina Helge;Nakken
Fanny Bo;Bøhn
Maryam Abdullahi;Anderson
Anine Malvin;Aaserud
Runa Antoni;Søreide
Nathalie Eren;Ahmadi
Elle Viljar;Skogli
Kine Abel;Gjelsvik
Annika Krystian;Rye
Anniken Leif;Ree
Elma Scott;Blix
Tiril Daniel;Søreng
Johanne Youssef;Schrøder
Tale Jarle;Karlstad
Leonora Tarjei;Sylte
Ingrid Emilio;Kittelsen
Camilla Maximilian;Stien
Ingeborg Asbjørn;Eie
Benedicte Mons;Myrseth
Regine Antonio;Green
Isra Bjørnar;Enge
Freja Tomas;Stang
Iqra Elliott;Homme
Synnøve Syed;Hestnes
Mikaela Haakon;Gudmundsen
Kaya Kevin;Folkestad
Helena Steinar;Ulvestad
Frøya Elling;Torvik
Lerke Arne;Storsveen
Tomine Nicolay;Løvaas
Nela Eskild;Frøyland
Jana Richard;Roald
Ellie Nikolay;Mohammadi
Katja Conrad;Jahren
Lea Dawid;Fuglestad
Elisa Khalid;Bruland
Adela Yasin;Østli
Amina Mahdi;Bogen
June Henrik;Skjold
Fatima Viktor;Bore
Astri Tore;Smedsrud
Tilja Robert;Opdal
Erika Casper;Aarnes
Jennifer Mika;Odland
Kornelia Bernhard;Grøndahl
Veslemøy Kjell;Furulund
Anneli Falk;Åsen
Emmy Aksel;Sveum
Emilia Luis;Rognstad
Molly Diego;Rekdal
Mathilda Jokubas;Jansson
Linnea Marcus;Haugli
Ariel Tristan;Granlund
Erle Audun;Smestad
Lia Amandus;Moi
Angelina Adam;Hellum
Katrina Sverre;Lindland
Amelia Olve;Reistad
Dorthe Endre;Heiberg
Emmeli Wojciech;Granberg
Selina Victor;Støle
Eirin Lionel;Midtun
Ava Ailo;Melbye
Sina Nichlas;Sørvik
Ronja Erling;Skagen
Madeleine Erlend;Mydland
Lydia Tony;Lyng
Linea Askil;Lode
Carla Øystein;Kolberg
Dania Mohammad;Vatland
Lone Mattis;Henningsen
Mille Dovydas;Rolland
Iman Edgar;Myrvoll
Emmeline Morten;Hogstad
Enya Adnan;Thune
Irmelin Peter;Sollid
Ariana Domas;Elstad
Sine Melvin;Urdal
Frida Niklas;Sørbø
Vårin Jørgen;Løvstad
Marthe Thomas;Hovda
Aimee Lasse;Skrede
Therese Mathis;Alnes
Gabriela Herman;Aanonsen
Ayesha Natan;Said
Jasmine Linus;Randen
Kamile Bendik;Eira
Maia Eliah;Rogstad
Stine Mio;Kittilsen
Yusra Leo;Jahr
Kamilla Caspian;Gaarder
Milana Arin;Øverås
Sunniva Olav;Karstensen
Mina Olander;Abdullah
Emma Johann;Skjelbred
Wilma Alf;Harstad
Siril Fabian;Engelsen
Oda Odin;Østgård
Carmen Brian;Wergeland
Julia Yahya;Rudi
Pernille Ask;Lundby
Lucia Mikail;Holberg
Nelly Ahmad;Hjelmeland
Mira Timian;Aarstad
Bettina Ravn;Westgaard
Olea Nicolai;Vu
Susanna Emilian;Mæhlum
Evelyn Matteus;Kildal
Susanne Torben;Zachariassen
Fredrikke Odd;Fjelde
Elvira Kaspian;Marcussen
Leah Anas;Sørgård
Elif Dominic;Eid
Karin Levi;Berland
Caroline Kenneth;Myhrvold
Zuzanna Mateo;Lillevik
Ruth Preben;Brynildsen
Maria Edwin;Svarstad
Lena Bartosz;Lein
Jenny Mikal;Ek
Sonia Younes;Dammen
Iben Teodor;Bergmann
Tindra Tobias;Skulstad
Nicole Stian;Kvalsvik
Alea Håkon;Petterson
Olava Vegar;Longva
Idun Matteo;Bruvik
Amine Eik;Steinsvik
Zara Henning;Lima
Line Rasmus;Nordberg
Selena Yosef;Osmundsen
Emily Tord;Øverli
Aya Tian;Vestre
Amalia Ole;Mahamed
Aila Ulrik;Lønning
Marielle Dan;Bauge
Ana Selmer;Reiten
Alida Abdirahman;Werner
Melina Sune;Pettersson
Edda Kjetil;Ofstad
Elea Hermann;Midttun
Frøydis Birk;Boge
Liv Lars;Auestad
Elena Espen;Sortland
Maiken Emre;Haave
Elida Samson;Vestby
Sonja Aleksander;Loe
Malak Elijah;Kjærstad
Louise Hallvard;Bjørdal
Jessica Sven;Marthinussen
Sahar Peder;Håvik
Freyja Sean;Fjeldheim
Iris Markas;Heggland
Katharina Josef;Terjesen
Marie Amar;Gudbrandsen
Sanne Imran;Grønås
Liepa Mohamed;Øvergård
Rikke Ragnar;Brovold
Anette Tage;Sele
Thea John;Bratli
Bianca Elian;Soltvedt
Wiktoria Emrik;Engelstad
Mila Mahamed;Thon
Villemo Jimmy;Stensby
Malena Darin;Skau
Vilma Salman;Leknes
Kari Gunnar;Øie
Helin Iver;Halle
Martha Liam;Myran
Alva Emilis;Jordal
Tora Bror;Brekken
Alma Dag;Selvik
Victoria Ingmar;Rydland
Karolina Max;Nymo
Millie Ivan;Remme
Solveig Arvin;Nordås
Ragna Arthur;Hauan
Siham Håvard;Groven
Vilde Mustafa;Kallevik
Celin Sindre;Abbas
Una Vilmer;Tofte
Melissa Oscar;Thue
Nila Theodor;Bjørkli
Sabrin Hubert;Høydal
Lotta Mario;Hem
Leni Sigurd;Tjelta
Milla Theo;Fremstad
Nanna Noah;Bergseth
Lisa Rolf;Gaup
Vilje Arian;Fagerland
Cindy Abdul;Tufte
Agnethe Eskil;Ommundsen
Anna Chris;Gashi
Hanne Tor;Veland
Hailey Didrik;Solås
Paula Isak;Sjøberg
May Brynjar;Nedrebø
Eleah Mikolaj;Bjørsvik
Viola Damian;Sollien
Sandra Ørjan;Osland
Isabell Severin;Løkke
Henriette Jonatan;Sørby
Ugne Olaf;Helseth
Idunn Kajus;Aass
Eiril Jamie;Osnes
Synne Albert;Hassel
Juni Emmett;Opdahl
Vilja Otto;Dreyer
Inaya Karol;Aarvik
Zahra Mikael;Vindenes
Othelie Iben;Otterlei
Mari Henry;Nordseth
Medina Amund;Idland
Karla Fillip;Gamst
Janne Omar;Alexandersen
Daniela Ayman;Løvseth
Kamila Joachim;Korsmo
Serina Jaran;Forberg
Olivia Isac;Raknes
Tonje Martinius;Hegna
Martine Arn;Heen
Madelen Axel;Taraldsen
Ester Torjus;Markhus
Live Hassan;Landro
Dina Wilmer;Bru
Savannah Cornelius;Tharaldsen
Juliane Andreas;Skjerve
Kaisa Sivert;Grov
Margrethe Aaron;Grimsrud
Selma Leonard;Semb
Sumaya Torbjørn;Kjos
Kristin Vidar;Hætta
Inga Svein;Sara
Åse Arnas;Alsaker
Vivian Runar;Risan
Marianne Nojus;Dyrnes
Katrine Leon;Strande
Sol Anthony;Seland
Rachel Trygve;Reigstad
Michelle Martinus;Jahnsen
Silja Christopher;Stranden
